FACTION_NAME	SECTOR_NAME	GATE_NAME	POS_X	POS_Y	POS_Z
Amananth	Aman Gate	Inner Gyre	0.0	0.0	0.0
Amananth	Aman Gate	Outer Gyre	-14.4	-2.8	-23.6
Amananth	Aman Gate	The Dark	-1.4	-2.4	-12.0
Amananth	Aman Hook	Canis 9502	-3.2	-21.9	-2.0
Amananth	Aman Hook	Last Parsec	0.0	0.0	0.0
Amananth	Aman Hook	The Gyre	-6.8	-11.7	30.4
Amananth	Amananth	Aman Leap	2.6	-6.6	-9.5
Amananth	Amananth	Inner Aman	10.6	7.6	-8.9
Amananth	Amananth	The Gyre	0.0	0.0	0.0
Amananth	Canis 9502	Aman Hook	0.0	0.0	0.0
Amananth	Inner Aman	Amananth	0.0	0.0	0.0
Amananth	Inner Aman	The Last Point	7.8	-4.8	49.0
Amananth	Last Parsec	Aman Hook	28.4	10.0	-17.5
Amananth	Last Parsec	Sea of Shadows	26.1	10.0	16.0
Amananth	Last Parsec	The Stith	0.0	0.0	0.0
Amananth	Sea of Shadows	Last Parsec	6.5	-1.0	-12.9
Amananth	Sea of Shadows	The Split	0.0	0.0	0.0
Amananth	The Dark	Aman Gate	21.8	0.0	9.9
Amananth	The Dark	The Last Point	0.0	0.0	0.0
Amananth	The Gyre	Aman Hook	22.5	0.0	0.0
Amananth	The Gyre	Amananth	11.2	0.0	19.5
Amananth	The Gyre	The Split	0.0	0.0	0.0
Amananth	The Last Point	Inner Aman	18.7	-1.4	13.7
Amananth	The Last Point	The Dark	0.0	0.0	0.0
Amananth	The Split	Sea of Shadows	0.0	0.0	0.0
Amananth	The Split	The Gyre	29.7	2.1	1.9
Conflux Galaxy	Aman Leap	Amananth	-17.1	-0.6	24.2
Conflux Galaxy	Aman Leap	C-1096	0.0	0.0	0.0
Conflux Galaxy	Aman Leap	Explorers` Haven	-15.5	-7.3	15.1
Conflux Galaxy	Aman Leap	The Depths	-32.2	1.0	41.5
Conflux Galaxy	C-1095	The Chase	14.8	-13.9	-12.0
Conflux Galaxy	C-1095	The Disturbance	0.0	0.0	0.0
Conflux Galaxy	C-1096	Aman Leap	-5.9	-9.6	-13.4
Conflux Galaxy	C-1096	The Disturbance	0.0	0.0	0.0
Conflux Galaxy	C-1097	C-2203	0.0	0.0	0.0
Conflux Galaxy	C-1097	Contact	-2.7	17.8	-5.2
Conflux Galaxy	C-1098	Courage	-19.9	0.8	26.2
Conflux Galaxy	C-1098	Explorers` Haven	0.0	0.0	0.0
Conflux Galaxy	C-1100	C-2200	0.0	0.0	0.0
